ID,NombreEmpleado,Departamento,Cargo,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,Año,Notas,Oficina,TipoContrato
1965,Silvia Maria Suarez Herrera,Logistica,Planificador de Demanda,4076,,444,315,4520,4835,2025,,Oficina Regional,Part-Time
1966,Patricia Rosa Vargas Morales,Comercial / Ventas,Preventista (BEES),3257,423,464,1412,4144,5556,2025,,Centros de Distribucion,Part-Time
1967,Lucia Patricia Sanchez Torres,Marketing,Trade Marketing,1140,1135,854,408,3129,3537,2025,,Centros de Distribucion,Part-Time
1968,Rafael Jorge Castro Rojas,People (RRHH),Business Partner,868,968,896,1203,2732,3935,2025,,Centros de Distribucion,Full-Time
1969,Pedro Andres Ortega Rodriguez,Operaciones (Supply),Maestro Cervecero,3737,110,700,320,4547,4867,2025,,Planta Industrial,Full-Time
1970,Patricia Elena Herrera Suarez,Comercial / Ventas,Preventista (BEES),4970,947,677,773,6594,7367,2025,,Planta Industrial (Matriz),Full-Time
1971,Luis Hugo Perez Sanchez,Marketing,Brand Manager,2550,986,165,826,3701,4527,2025,,Oficinas Administrativas,Full-Time
1972,Claudia Camila Martinez Ortega,Operaciones (Supply),Maestro Cervecero,3612,1013,78,999,4703,5702,2025,,Planta Industrial,Full-Time
1973,Alberto Eduardo Herrera Gonzalez,People (RRHH),Business Partner,2689,1463,77,1355,4229,5584,2025,,Planta Industrial,Full-Time
1974,Miguel Andres Ortega Lopez,Marketing,Brand Manager,4138,516,770,1156,5424,6580,2025,,Planta Industrial,Part-Time
1975,Maria Laura Suarez Garcia,Marketing,Brand Manager,1144,1355,460,1047,2959,4006,2025,,Planta Industrial (Matriz),
1976,Patricia Carmen Ramirez Perez,Comercial / Ventas,Preventista (BEES),1394,1157,585,1079,3136,4215,2025,,Oficinas Administrativas,Full-Time
1977,Victor Alberto Ramirez Castro,People (RRHH),Reclutador (Trainee),3845,590,445,993,4880,5873,2025,,Planta Industrial,Full-Time
1978,Miguel Jose Rojas Rojas,People (RRHH),Reclutador (Trainee),1356,757,94,495,2207,2702,2025,,Planta Industrial (Matriz),Part-Time
1979,Mario Eduardo Ramirez Suarez,Sostenibilidad,Coordinador de Agro,1773,1201,631,1205,3605,4810,2025,,Centros de Distribucion,Full-Time
1980,Elena Maria Gonzalez Herrera,Logistica,Planificador de Demanda,2503,632,821,1437,3956,5393,2025,,Oficina Regional,Full-Time
1981,Diego Pedro Mendoza Perez,Logistica,Gestor de Flota,2052,843,846,748,3741,4489,2025,,Planta Industrial (Matriz),Full-Time
1982,Paula Silvia Garcia Perez,People (RRHH),Business Partner,2239,962,659,1255,3860,5115,2025,,Planta Industrial,Part-Time
1983,Carmen Monica Perez Martinez,Sostenibilidad,Coordinador de Agro,1998,692,154,1159,2844,4003,2025,,Planta Industrial (Matriz),
1984,Ricardo Raul Rojas Perez,Comercial / Ventas,Preventista (BEES),2462,553,626,652,3641,4293,2025,,Centros de Distribucion,Part-Time
1985,Paula Daniela Delgado Morales,Logistica,Planificador de Demanda,4308,1481,402,783,6191,6974,2025,,Oficinas Administrativas,Part-Time
1986,Elena Elena Herrera Torres,Marketing,Trade Marketing,2539,515,394,475,3448,3923,2025,,Centros de Distribucion,Full-Time
1987,Ana Carmen Perez Ramirez,Logistica,Gestor de Flota,1477,,239,466,1716,2182,2025,,Oficinas Administrativas,Full-Time
1988,Mario Ricardo Martinez Perez,Logistica,Gestor de Flota,2662,909,483,276,4054,4330,2025,,Oficinas Administrativas,Part-Time
1989,Daniela Valentina Flores Delgado,Operaciones (Supply),Operador de Envasado,4209,640,838,555,5687,6242,2025,,Planta Industrial (Matriz),Full-Time
1990,Patricia Lucia Suarez Lopez,People (RRHH),Reclutador (Trainee),4295,440,377,1336,5112,6448,2025,,Oficina Regional,Full-Time
1991,Hugo Jorge Suarez Rojas,Logistica,Gestor de Flota,1252,847,316,1053,2415,3468,2025,,Oficina Regional,Part-Time
1992,Juan Pedro Garcia Gonzalez,Sostenibilidad,Coordinador de Agro,1623,220,572,1019,2415,3434,2025,,Oficina Regional,
1993,Sergio Carlos Vargas Garcia,Tecnologia (Tech),Analista de Datos,3045,1278,799,1293,5122,6415,2025,,Oficinas Administrativas,Part-Time
1994,Hugo Raul Morales Lopez,Logistica,Gestor de Flota,2771,962,361,1446,4094,5540,2025,,Planta Industrial (Matriz),Part-Time
1995,Fernando Hugo Martinez Gonzalez,Logistica,Planificador de Demanda,2438,1256,592,833,4286,5119,2025,,Planta Industrial,Part-Time
1996,Eduardo Alberto Suarez Garcia,Operaciones (Supply),Analista de Calidad,4715,730,414,622,5859,6481,2025,,Centros de Distribucion,Part-Time
1997,Andrea Valentina Garcia Vargas,Comercial / Ventas,Preventista (BEES),2616,265,865,255,3746,4001,2025,,Planta Industrial,Part-Time
1998,Victor Pedro Ramirez Ortega,Finanzas,Controller Financiero,1477,982,425,897,2884,3781,2025,,Planta Industrial (Matriz),Part-Time
1999,Rosa Elena Ortega Suarez,Operaciones (Supply),Analista de Calidad,3563,692,805,1293,5060,6353,2025,,Planta Industrial (Matriz),Full-Time
2000,Patricia Andrea Castro Martinez,Comercial / Ventas,Preventista (BEES),3490,1107,225,668,4822,5490,2025,,Planta Industrial (Matriz),Part-Time
2001,Juan Diego Garcia Torres,Operaciones (Supply),Maestro Cervecero,4179,1179,91,,5449,5449,2025,,Planta Industrial (Matriz),Full-Time
2002,Claudia Sofia Morales Gonzalez,Marketing,Trade Marketing,4061,154,443,1012,4658,5670,2025,,Centros de Distribucion,Part-Time
2003,Patricia Gabriela Ramirez Lopez,Finanzas,Controller Financiero,3166,317,662,740,4145,4885,2025,,Centros de Distribucion,Part-Time
2004,Jorge Luis Castro Vargas,Operaciones (Supply),Maestro Cervecero,3196,380,156,,3732,3732,2025,,Oficinas Administrativas,Part-Time
2005,Hugo Rafael Mendoza Flores,Tecnologia (Tech),Analista de Datos,4145,1458,484,1430,6087,7517,2025,,Planta Industrial,Part-Time
2006,Sofia Laura Diaz Delgado,Operaciones (Supply),Operador de Envasado,2624,527,446,1364,3597,4961,2025,,Planta Industrial,
2007,Hugo Jorge Gonzalez Torres,Sostenibilidad,Coordinador de Agro,4835,1167,55,1467,6057,7524,2025,,Oficinas Administrativas,Full-Time
2008,Camila Valentina Diaz Morales,People (RRHH),Reclutador (Trainee),3016,354,343,939,3713,4652,2025,,Oficina Regional,Part-Time
2009,Valentina Claudia Gonzalez Garcia,Marketing,Trade Marketing,3496,882,71,398,4449,4847,2025,,Planta Industrial,Full-Time
2010,Andres Julio Martinez Ramirez,Operaciones (Supply),Analista de Calidad,4864,1229,710,1252,6803,8055,2025,,Planta Industrial,Full-Time
2011,Carlos Juan Ortega Castro,Marketing,Trade Marketing,3548,1254,658,,5460,5460,2025,,Oficinas Administrativas,Part-Time
2012,Valentina Natalia Lopez Rojas,People (RRHH),Business Partner,1835,,723,836,2558,3394,2025,,Oficinas Administrativas,Part-Time
2013,Sofia Gabriela Delgado Martinez,Operaciones (Supply),Maestro Cervecero,4212,241,912,1330,5365,6695,2025,,Planta Industrial,Part-Time
2014,Andres Raul Herrera Ortega,People (RRHH),Reclutador (Trainee),3252,159,471,965,3882,4847,2025,,Centros de Distribucion,Part-Time
2015,Andres Rafael Suarez Herrera,Operaciones (Supply),Analista de Calidad,4063,791,704,1417,5558,6975,2025,,Centros de Distribucion,Part-Time
2016,Jose Miguel Martinez Castro,People (RRHH),Reclutador (Trainee),1379,1277,12,700,2668,3368,2025,,Planta Industrial (Matriz),Full-Time
2017,Paula Daniela Lopez Gonzalez,People (RRHH),Reclutador (Trainee),3990,450,518,256,4958,5214,2025,,Planta Industrial (Matriz),Part-Time
2018,Elena Rosa Morales Delgado,Comercial / Ventas,Key Account Manager,4644,441,819,967,5904,6871,2025,,Oficinas Administrativas,Part-Time
2019,Paula Rosa Martinez Flores,Comercial / Ventas,Key Account Manager,3090,873,130,1029,4093,5122,2025,,Oficinas Administrativas,Full-Time
2020,Maria Monica Lopez Castro,Tecnologia (Tech),Analista de Datos,1048,193,400,1010,1641,2651,2025,,Planta Industrial,Full-Time
2021,Andrea Sofia Torres Morales,Operaciones (Supply),Maestro Cervecero,2424,820,971,619,4215,4834,2025,,Planta Industrial,Full-Time
2022,Ana Monica Ramirez Torres,Operaciones (Supply),Maestro Cervecero,3124,769,660,607,4553,5160,2025,,Oficinas Administrativas,
2023,Victor Hugo Flores Suarez,People (RRHH),Reclutador (Trainee),1555,1419,387,1002,3361,4363,2025,,Centros de Distribucion,Full-Time
2024,Diego Jose Flores Herrera,Sostenibilidad,Coordinador de Agro,3340,320,830,1129,4490,5619,2025,,Planta Industrial,Part-Time
2025,Luis Andres Vargas Vargas,People (RRHH),Reclutador (Trainee),4928,734,3,1117,5665,6782,2025,,Planta Industrial,Part-Time
2026,Natalia Gabriela Torres Rojas,Sostenibilidad,Coordinador de Agro,1328,306,831,763,2465,3228,2025,,Oficinas Administrativas,Full-Time
2027,Monica Claudia Diaz Garcia,Marketing,Trade Marketing,3850,1165,497,583,5512,6095,2025,,Oficinas Administrativas,Part-Time
2028,Veronica Monica Vargas Rojas,People (RRHH),Business Partner,3206,1325,439,1394,4970,6364,2025,,Planta Industrial,
2029,Ana Valentina Ortega Martinez,Operaciones (Supply),Maestro Cervecero,4812,1098,380,462,6290,6752,2025,,Oficinas Administrativas,Full-Time
2030,Victor Eduardo Herrera Torres,People (RRHH),Business Partner,832,268,678,1245,1778,3023,2025,,Centros de Distribucion,
2031,Diego Fernando Rodriguez Rojas,People (RRHH),Business Partner,1429,1181,593,1016,3203,4219,2025,,Planta Industrial (Matriz),Full-Time
2032,Fernando Alberto Vargas Ramirez,Operaciones (Supply),Maestro Cervecero,1123,171,223,362,1517,1879,2025,,Planta Industrial (Matriz),
2033,Julio Alberto Rodriguez Gonzalez,Sostenibilidad,Coordinador de Agro,842,868,369,1084,2079,3163,2025,,Centros de Distribucion,Part-Time
2034,Andres Diego Rojas Diaz,Comercial / Ventas,Key Account Manager,2907,114,666,1395,3687,5082,2025,,Oficina Regional,Part-Time
2035,Camila Monica Delgado Rodriguez,Comercial / Ventas,Preventista (BEES),3950,871,27,504,4848,5352,2025,,Centros de Distribucion,Full-Time
2036,Luis Rafael Martinez Lopez,Marketing,Trade Marketing,3697,1188,720,1009,5605,6614,2025,,Oficina Regional,Full-Time
2037,Veronica Silvia Delgado Herrera,Finanzas,Controller Financiero,891,641,116,340,1648,1988,2025,,Planta Industrial,Part-Time
2038,Miguel Mario Diaz Rojas,Sostenibilidad,Coordinador de Agro,3630,1182,233,1063,5045,6108,2025,,Oficinas Administrativas,Part-Time
2039,Carlos Pedro Mendoza Rojas,Comercial / Ventas,Preventista (BEES),4883,357,454,961,5694,6655,2025,,Planta Industrial,Full-Time
2040,Miguel Diego Lopez Flores,Finanzas,Controller Financiero,1304,914,96,711,2314,3025,2025,,Oficina Regional,Part-Time
2041,Daniela Lucia Flores Ramirez,Logistica,Planificador de Demanda,4316,997,312,367,5625,5992,2025,,Planta Industrial,
2042,Fernando Ricardo Perez Vargas,Comercial / Ventas,Key Account Manager,3633,254,982,1225,4869,6094,2025,,Oficina Regional,Full-Time
2043,Patricia Natalia Delgado Suarez,People (RRHH),Business Partner,1571,760,8,577,2339,2916,2025,,Planta Industrial (Matriz),Full-Time
2044,Sergio Diego Ortega Sanchez,Sostenibilidad,Coordinador de Agro,4335,310,198,727,4843,5570,2025,,Oficinas Administrativas,Full-Time
2045,Patricia Patricia Torres Morales,Logistica,Planificador de Demanda,1059,1422,75,898,2556,3454,2025,,Planta Industrial (Matriz),Full-Time
2046,Hugo Sergio Lopez Perez,Comercial / Ventas,Key Account Manager,2904,393,415,701,3712,4413,2025,,Oficinas Administrativas,
2047,Veronica Elena Castro Vargas,Operaciones (Supply),Analista de Calidad,4970,509,850,1354,6329,7683,2025,,Planta Industrial,Full-Time
2048,Ricardo Julio Castro Flores,Finanzas,Controller Financiero,3761,,738,750,4499,5249,2025,,Planta Industrial,Full-Time
2049,Mario Ricardo Herrera Diaz,Operaciones (Supply),Operador de Envasado,2736,1204,578,1168,4518,5686,2025,,Oficina Regional,Full-Time
2050,Carmen Maria Herrera Rodriguez,Finanzas,Controller Financiero,3987,1116,130,1225,5233,6458,2025,,Oficinas Administrativas,Full-Time
2051,Sergio Rafael Lopez Flores,People (RRHH),Business Partner,3726,1191,330,381,5247,5628,2025,,Oficinas Administrativas,Full-Time
2052,Sergio Raul Ortega Rodriguez,Operaciones (Supply),Operador de Envasado,1229,,384,1047,1613,2660,2025,,Planta Industrial,Part-Time
2053,Raul Carlos Ramirez Sanchez,People (RRHH),Business Partner,3400,1101,714,427,5215,5642,2025,,Centros de Distribucion,
2054,Raul Eduardo Morales Garcia,People (RRHH),Reclutador (Trainee),3503,368,251,1278,4122,5400,2025,,Oficina Regional,Part-Time
2055,Alberto Mario Suarez Ramirez,People (RRHH),Business Partner,3853,540,867,1315,5260,6575,2025,,Centros de Distribucion,Part-Time
2056,Ricardo Andres Gonzalez Torres,Finanzas,Controller Financiero,2972,1197,974,443,5143,5586,2025,,Oficina Regional,Full-Time
2057,Raul Raul Castro Torres,Finanzas,Controller Financiero,4448,750,875,970,6073,7043,2025,,Oficinas Administrativas,Part-Time
2058,Alberto Pedro Mendoza Rodriguez,Marketing,Trade Marketing,1219,530,314,785,2063,2848,2025,,Planta Industrial,Part-Time
2059,Pedro Rafael Gonzalez Herrera,Finanzas,Controller Financiero,1950,212,635,,2797,2797,2025,,Planta Industrial,
2060,Camila Valentina Delgado Rodriguez,Tecnologia (Tech),Analista de Datos,2922,774,942,1494,4638,6132,2025,,Planta Industrial (Matriz),Full-Time
2061,Julio Pedro Sanchez Gonzalez,Operaciones (Supply),Operador de Envasado,4748,788,978,217,6514,6731,2025,,Oficina Regional,Part-Time
2062,Valentina Rosa Ortega Herrera,Tecnologia (Tech),Analista de Datos,1329,380,901,760,2610,3370,2025,,Planta Industrial,Part-Time
2063,Alberto Jose Castro Suarez,Sostenibilidad,Coordinador de Agro,1493,1144,241,1084,2878,3962,2025,,Planta Industrial (Matriz),Part-Time
2064,Veronica Gabriela Lopez Martinez,Operaciones (Supply),Operador de Envasado,4846,911,177,1163,5934,7097,2025,,Centros de Distribucion,Part-Time
2065,Gabriela Elena Delgado Castro,People (RRHH),Business Partner,2779,765,106,848,3650,4498,2025,,Planta Industrial,Part-Time
2066,Ricardo Jose Vargas Herrera,People (RRHH),Business Partner,2821,851,476,1494,4148,5642,2025,,Oficinas Administrativas,Part-Time
2067,Veronica Patricia Martinez Lopez,Logistica,Gestor de Flota,1128,319,467,687,1914,2601,2025,,Centros de Distribucion,
2068,Ricardo Eduardo Mendoza Rodriguez,Comercial / Ventas,Key Account Manager,3933,240,32,962,4205,5167,2025,,Oficina Regional,Full-Time
2069,Julio Victor Ortega Delgado,Logistica,Planificador de Demanda,1535,951,441,309,2927,3236,2025,,Oficina Regional,Part-Time
2070,Laura Ana Ramirez Perez,Tecnologia (Tech),Analista de Datos,4857,936,162,693,5955,6648,2025,,Oficinas Administrativas,Full-Time
2071,Claudia Silvia Rodriguez Garcia,Sostenibilidad,Coordinador de Agro,4052,954,909,524,5915,6439,2025,,Planta Industrial,Full-Time
2072,Diego Andres Martinez Castro,Operaciones (Supply),Operador de Envasado,1671,325,231,254,2227,2481,2025,,Planta Industrial,Full-Time
2073,Ana Lucia Ortega Torres,People (RRHH),Business Partner,4221,415,312,1018,4948,5966,2025,,Centros de Distribucion,Full-Time
2074,Patricia Sofia Diaz Morales,Comercial / Ventas,Key Account Manager,3030,1349,15,237,4394,4631,2025,,Planta Industrial (Matriz),Full-Time
2075,Silvia Natalia Gonzalez Suarez,Operaciones (Supply),Maestro Cervecero,2017,219,0,754,2236,2990,2025,,Planta Industrial,Full-Time
2076,Julio Sergio Herrera Rodriguez,Operaciones (Supply),Analista de Calidad,4852,1060,891,815,6803,7618,2025,,Oficinas Administrativas,Full-Time
2077,Rosa Gabriela Vargas Morales,People (RRHH),Reclutador (Trainee),3857,1496,347,664,5700,6364,2025,,Oficina Regional,Full-Time
2078,Raul Carlos Rojas Ramirez,Logistica,Planificador de Demanda,4264,228,159,1477,4651,6128,2025,,Oficina Regional,
2079,Diego Alberto Flores Martinez,Tecnologia (Tech),Analista de Datos,1554,1041,772,782,3367,4149,2025,,Centros de Distribucion,Full-Time
2080,Lucia Natalia Herrera Sanchez,Operaciones (Supply),Operador de Envasado,1414,563,913,1272,2890,4162,2025,,Centros de Distribucion,Full-Time
2081,Sofia Camila Mendoza Delgado,People (RRHH),Business Partner,2502,959,439,306,3900,4206,2025,,Oficina Regional,Part-Time
2082,Luis Sergio Garcia Diaz,Sostenibilidad,Coordinador de Agro,3611,550,220,489,4381,4870,2025,,Planta Industrial,Part-Time
2083,Silvia Carmen Mendoza Delgado,Logistica,Gestor de Flota,3858,1279,279,964,5416,6380,2025,,Planta Industrial,Full-Time
2084,Victor Mario Ortega Herrera,People (RRHH),Business Partner,4794,1282,539,923,6615,7538,2025,,Centros de Distribucion,
2085,Julio Juan Gonzalez Mendoza,Finanzas,Controller Financiero,4679,662,437,217,5778,5995,2025,,Centros de Distribucion,Full-Time
2086,Fernando Miguel Rojas Delgado,Comercial / Ventas,Key Account Manager,4464,101,676,778,5241,6019,2025,,Oficina Regional,Part-Time
2087,Pedro Diego Delgado Lopez,Logistica,Gestor de Flota,1554,122,169,1475,1845,3320,2025,,Planta Industrial,Part-Time
2088,Veronica Monica Lopez Castro,People (RRHH),Reclutador (Trainee),2553,343,134,930,3030,3960,2025,,Planta Industrial,Full-Time
2089,Monica Silvia Garcia Lopez,Comercial / Ventas,Preventista (BEES),4988,862,615,640,6465,7105,2025,,Oficina Regional,Full-Time
2090,Juan Raul Perez Vargas,Finanzas,Controller Financiero,3362,953,232,1393,4547,5940,2025,,Oficina Regional,
2091,Monica Elena Flores Herrera,People (RRHH),Reclutador (Trainee),1134,446,915,877,2495,3372,2025,,Oficinas Administrativas,Full-Time
2092,Luis Eduardo Rojas Diaz,Logistica,Gestor de Flota,3990,189,568,317,4747,5064,2025,,Oficinas Administrativas,Part-Time
2093,Fernando Sergio Herrera Perez,Operaciones (Supply),Operador de Envasado,1092,1090,232,,2414,2414,2025,,Oficinas Administrativas,Full-Time
2094,Elena Natalia Rojas Flores,Operaciones (Supply),Maestro Cervecero,3017,563,442,396,4022,4418,2025,,Planta Industrial,Full-Time
2095,Andres Luis Sanchez Mendoza,Comercial / Ventas,Key Account Manager,2031,184,464,300,2679,2979,2025,,Centros de Distribucion,Part-Time
2096,Carmen Patricia Martinez Garcia,Logistica,Planificador de Demanda,1298,787,197,670,2282,2952,2025,,Centros de Distribucion,Full-Time
2097,Lucia Sofia Morales Herrera,Comercial / Ventas,Key Account Manager,1802,764,413,,2979,2979,2025,,Planta Industrial,Full-Time
2098,Rafael Diego Garcia Ramirez,Operaciones (Supply),Analista de Calidad,2742,930,798,991,4470,5461,2025,,Planta Industrial,Full-Time
2099,Camila Sofia Suarez Garcia,Marketing,Brand Manager,1546,557,514,1393,2617,4010,2025,,Oficinas Administrativas,Full-Time
2100,Pedro Andres Ramirez Sanchez,Logistica,Gestor de Flota,4448,817,308,1296,5573,6869,2025,,Centros de Distribucion,Part-Time
2101,Rafael Juan Garcia Garcia,Marketing,Brand Manager,2976,852,72,607,3900,4507,2025,,Centros de Distribucion,Part-Time
2102,Gabriela Ana Lopez Lopez,Sostenibilidad,Coordinador de Agro,3927,1181,847,641,5955,6596,2025,,Planta Industrial,Part-Time
2103,Lucia Camila Ortega Perez,People (RRHH),Reclutador (Trainee),4231,199,306,,4736,4736,2025,,Planta Industrial,Full-Time
2104,Julio Victor Morales Martinez,Logistica,Gestor de Flota,1566,1085,819,1414,3470,4884,2025,,Centros de Distribucion,Full-Time
2105,Maria Silvia Martinez Flores,Finanzas,Controller Financiero,4387,231,256,444,4874,5318,2025,,Planta Industrial,Full-Time
2106,Eduardo Miguel Lopez Rojas,Tecnologia (Tech),Analista de Datos,4815,935,41,1176,5791,6967,2025,,Planta Industrial,Full-Time
2107,Andres Pedro Herrera Morales,People (RRHH),Reclutador (Trainee),2534,273,907,761,3714,4475,2025,,Oficinas Administrativas,Full-Time
2108,Veronica Andrea Perez Sanchez,Operaciones (Supply),Operador de Envasado,1309,1206,861,1455,3376,4831,2025,,Planta Industrial,Part-Time
2109,Silvia Camila Rojas Perez,Marketing,Trade Marketing,2110,880,479,1132,3469,4601,2025,,Oficina Regional,Full-Time
2110,Eduardo Jose Vargas Diaz,Marketing,Trade Marketing,3750,1220,930,424,5900,6324,2025,,Planta Industrial,Part-Time
2111,Valentina Camila Sanchez Rodriguez,Logistica,Gestor de Flota,3051,1454,475,,4980,4980,2025,,Oficina Regional,
2112,Andrea Carmen Sanchez Delgado,Comercial / Ventas,Key Account Manager,886,117,305,736,1308,2044,2025,,Centros de Distribucion,Full-Time
2113,Elena Gabriela Rojas Torres,Marketing,Brand Manager,4343,577,126,317,5046,5363,2025,,Centros de Distribucion,Full-Time
2114,Luis Andres Torres Diaz,People (RRHH),Reclutador (Trainee),4399,169,464,483,5032,5515,2025,,Planta Industrial,Part-Time
2115,Monica Paula Herrera Torres,Tecnologia (Tech),Analista de Datos,1810,500,474,495,2784,3279,2025,,Planta Industrial (Matriz),Part-Time
2116,Patricia Gabriela Lopez Rodriguez,Tecnologia (Tech),Analista de Datos,3622,717,833,552,5172,5724,2025,,Planta Industrial (Matriz),Part-Time
2117,Claudia Rosa Rojas Ortega,Operaciones (Supply),Analista de Calidad,2818,270,975,1399,4063,5462,2025,,Planta Industrial (Matriz),
2118,Miguel Diego Perez Rojas,Operaciones (Supply),Analista de Calidad,3168,211,993,336,4372,4708,2025,,Centros de Distribucion,
2119,Jorge Alberto Martinez Mendoza,Operaciones (Supply),Maestro Cervecero,4719,682,506,1032,5907,6939,2025,,Planta Industrial (Matriz),Full-Time
2120,Luis Fernando Delgado Ortega,Marketing,Trade Marketing,2663,838,499,1288,4000,5288,2025,,Planta Industrial (Matriz),Part-Time
2121,Alberto Ricardo Garcia Herrera,Logistica,Planificador de Demanda,2812,1175,721,840,4708,5548,2025,,Centros de Distribucion,Part-Time
2122,Ana Veronica Gonzalez Delgado,Sostenibilidad,Coordinador de Agro,1712,127,820,203,2659,2862,2025,,Centros de Distribucion,Part-Time
2123,Patricia Valentina Sanchez Torres,Operaciones (Supply),Operador de Envasado,1902,1092,361,1049,3355,4404,2025,,Oficina Regional,Full-Time
2124,Alberto Raul Castro Gonzalez,Logistica,Planificador de Demanda,2797,212,926,649,3935,4584,2025,,Planta Industrial (Matriz),Full-Time
2125,Gabriela Valentina Flores Ortega,Marketing,Brand Manager,4607,419,815,515,5841,6356,2025,,Oficina Regional,Part-Time
2126,Miguel Rafael Rojas Herrera,Marketing,Trade Marketing,4408,867,557,,5832,5832,2025,,Planta Industrial (Matriz),Full-Time
2127,Camila Paula Flores Mendoza,People (RRHH),Business Partner,1178,1473,622,1076,3273,4349,2025,,Oficina Regional,Full-Time
2128,Carmen Natalia Ramirez Flores,Finanzas,Controller Financiero,1728,297,751,977,2776,3753,2025,,Oficinas Administrativas,Full-Time
2129,Alberto Alberto Perez Gonzalez,Comercial / Ventas,Preventista (BEES),4827,683,774,1252,6284,7536,2025,,Oficinas Administrativas,
2130,Camila Veronica Rodriguez Sanchez,Sostenibilidad,Coordinador de Agro,3192,559,378,1289,4129,5418,2025,,Planta Industrial (Matriz),Full-Time
2131,Carlos Ricardo Herrera Ramirez,Logistica,Gestor de Flota,946,314,83,960,1343,2303,2025,,Centros de Distribucion,Part-Time
2132,Gabriela Natalia Rojas Castro,Logistica,Planificador de Demanda,4494,1272,169,1095,5935,7030,2025,,Planta Industrial,Full-Time
2133,Gabriela Elena Mendoza Ortega,People (RRHH),Business Partner,907,192,416,1346,1515,2861,2025,,Oficinas Administrativas,Full-Time
2134,Veronica Ana Delgado Rodriguez,Marketing,Trade Marketing,4805,1336,515,1107,6656,7763,2025,,Oficinas Administrativas,Full-Time
2135,Ana Claudia Mendoza Gonzalez,Operaciones (Supply),Maestro Cervecero,1344,888,879,561,3111,3672,2025,,Oficina Regional,Part-Time
2136,Rafael Luis Perez Suarez,Marketing,Trade Marketing,4790,912,536,607,6238,6845,2025,,Oficina Regional,Full-Time
2137,Valentina Claudia Sanchez Perez,Finanzas,Controller Financiero,1348,250,112,402,1710,2112,2025,,Planta Industrial,Part-Time
2138,Luis Ricardo Ortega Mendoza,Marketing,Trade Marketing,4974,1460,541,929,6975,7904,2025,,Planta Industrial (Matriz),
2139,Luis Andres Martinez Suarez,Logistica,Gestor de Flota,996,1107,90,295,2193,2488,2025,,Oficinas Administrativas,Part-Time
2140,Julio Ricardo Martinez Rodriguez,Comercial / Ventas,Key Account Manager,2878,585,52,477,3515,3992,2025,,Oficina Regional,Full-Time
2141,Ricardo Luis Suarez Gonzalez,Comercial / Ventas,Key Account Manager,3409,757,884,1229,5050,6279,2025,,Planta Industrial,Full-Time
2142,Sofia Laura Morales Martinez,Comercial / Ventas,Key Account Manager,1694,309,474,216,2477,2693,2025,,Planta Industrial,Part-Time
2143,Claudia Natalia Rojas Herrera,People (RRHH),Reclutador (Trainee),2327,208,759,1385,3294,4679,2025,,Centros de Distribucion,Part-Time
2144,Ricardo Pedro Garcia Torres,People (RRHH),Reclutador (Trainee),2553,203,728,1106,3484,4590,2025,,Oficinas Administrativas,Full-Time
2145,Luis Luis Morales Garcia,People (RRHH),Reclutador (Trainee),878,1404,528,1092,2810,3902,2025,,Oficinas Administrativas,Full-Time
2146,Valentina Andrea Perez Castro,Comercial / Ventas,Preventista (BEES),2366,506,507,582,3379,3961,2025,,Oficinas Administrativas,Full-Time
2147,Paula Lucia Perez Ramirez,Logistica,Planificador de Demanda,4219,570,200,511,4989,5500,2025,,Planta Industrial (Matriz),Part-Time
2148,Pedro Mario Rodriguez Rodriguez,Finanzas,Controller Financiero,4944,149,962,1028,6055,7083,2025,,Planta Industrial,Part-Time
2149,Juan Julio Rodriguez Garcia,Marketing,Trade Marketing,4994,823,728,1184,6545,7729,2025,,Centros de Distribucion,Full-Time
2150,Carlos Alberto Perez Martinez,People (RRHH),Reclutador (Trainee),3314,1025,752,558,5091,5649,2025,,Planta Industrial (Matriz),Part-Time
2151,Julio Ricardo Vargas Herrera,Operaciones (Supply),Analista de Calidad,1251,193,204,612,1648,2260,2025,,Planta Industrial,Full-Time
2152,Elena Daniela Perez Rojas,Comercial / Ventas,Preventista (BEES),3732,866,37,1030,4635,5665,2025,,Planta Industrial (Matriz),Full-Time
2153,Luis Ricardo Perez Diaz,Tecnologia (Tech),Analista de Datos,946,210,450,1257,1606,2863,2025,,Oficina Regional,Part-Time
2154,Laura Silvia Gonzalez Flores,Sostenibilidad,Coordinador de Agro,4885,1148,153,,6186,6186,2025,,Oficinas Administrativas,Part-Time
2155,Luis Hugo Lopez Martinez,Finanzas,Controller Financiero,3088,1474,769,432,5331,5763,2025,,Oficina Regional,Full-Time
2156,Raul Rafael Morales Ramirez,Marketing,Trade Marketing,4529,602,796,,5927,5927,2025,,Planta Industrial (Matriz),Full-Time
2157,Carmen Carmen Sanchez Torres,Logistica,Planificador de Demanda,1901,928,686,548,3515,4063,2025,,Planta Industrial (Matriz),Part-Time
2158,Jorge Alberto Suarez Perez,Finanzas,Controller Financiero,4638,745,632,746,6015,6761,2025,,Centros de Distribucion,
2159,Monica Gabriela Flores Castro,Tecnologia (Tech),Analista de Datos,3182,1336,332,243,4850,5093,2025,,Planta Industrial,
2160,Miguel Ricardo Delgado Delgado,People (RRHH),Business Partner,1285,290,148,980,1723,2703,2025,,Planta Industrial,Part-Time
